package_name,decoy_num_processes,decoy_num_files,decoy_num_domains,decoy_num_dns,decoy_num_http_requests,decoy_num_payloads,decoy_timeline_length,decoy_num_network_ips,decoy_num_public_ips,decoy_num_private_or_local_ips,decoy_num_countries,decoy_has_processes,decoy_has_files,decoy_has_domains,decoy_has_dns,decoy_has_http_requests,decoy_has_payloads,decoy_has_network,decoy_has_timeline,decoy_has_node_process,decoy_has_execve,decoy_has_openat,decoy_has_access_ld_preload
package_518.tgz,3,0,110,0,0,2,100,13,10,3,3,1,0,1,0,0,1,1,1,1,1,1,1
package_196.tgz,2,0,405,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_533.tgz,3,0,108,0,0,0,100,3,2,1,2,1,0,1,0,0,0,1,1,1,1,1,1
package_472.tgz,1,1,27,6,0,0,100,7,4,3,2,1,1,1,1,0,0,1,1,1,1,1,1
package_287.tgz,20,20,168,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
package_281.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_140.tgz,1,0,110,0,0,2,100,7,4,3,2,1,0,1,0,0,1,1,1,1,1,1,1
package_231.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_179.tgz,11,0,916,0,0,0,100,12,9,3,2,1,0,1,0,0,0,1,1,1,1,1,1
package_532.tgz,6,0,110,0,0,0,100,2,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1
package_258.tgz,1,0,56,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_426.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_237.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_442.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_360.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_210.tgz,2,0,401,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_436.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_569.tgz,2,0,0,0,0,0,4791,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
package_536.tgz,2,0,110,0,0,2,1799,7,4,3,2,1,0,1,0,0,1,1,1,1,1,1,1
package_483.tgz,1,0,0,4,0,0,100,4,4,0,2,1,0,0,1,0,0,1,1,1,1,1,1
package_214.tgz,2,0,402,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_276.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_272.tgz,1,1,9,3,0,0,100,7,4,3,2,1,1,1,1,0,0,1,1,1,1,1,1
package_482.tgz,1,0,0,4,0,0,100,4,4,0,2,1,0,0,1,0,0,1,1,1,1,1,1
package_433.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_270.tgz,1,0,33,0,0,0,100,7,4,3,2,1,0,1,0,0,0,1,1,1,1,1,1
package_574.tgz,2,0,0,0,0,2,1828,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
package_263.tgz,1,0,60,0,0,0,100,7,4,3,2,1,0,1,0,0,0,1,1,1,1,1,1
package_425.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_235.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_431.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
